pais,iso3,anio,esperanza_vida,pib,poblacion
Bolivia,BOL,2008,70.1,2415,9880000
Bolivia,BOL,2009,70.3,2455,10000000
Bolivia,BOL,2010,70.5,2514,10200000
Bolivia,BOL,2011,70.7,2603,10400000
Bolivia,BOL,2012,70.9,2693,10500000
Bolivia,BOL,2013,71.1,2831,10700000
Bolivia,BOL,2014,71.3,2939,10900000
Bolivia,BOL,2015,71.5,3036,11000000
Bolivia,BOL,2016,71.7,3119,11200000
Bolivia,BOL,2017,71.8,3203,11400000
Bolivia,BOL,2018,72,3291,11500000
Bolivia,BOL,2019,69.8,3317,11700000
Bolivia,BOL,2020,72.5,2986,11800000
Chile,CHL,1990,74.2,5409,13500000
Chile,CHL,1991,74.7,5736,13700000
Chile,CHL,1992,75,6272,13900000
Chile,CHL,1993,75.2,6577,14200000
Chile,CHL,1994,75.3,6800,14400000
Chile,CHL,1995,75.5,7297,14600000
Chile,CHL,1996,76,7683,14800000
Chile,CHL,1997,76.2,8140,15000000
Chile,CHL,1998,76.5,8372,15200000
Chile,CHL,1999,76.9,8247,15300000
Chile,CHL,2000,77,8556,15500000
Chile,CHL,2001,77.4,8727,15700000
Chile,CHL,2002,77.4,8910,15800000
Chile,CHL,2003,77.6,9233,16000000
Chile,CHL,2004,77.9,9748,16200000
Chile,CHL,2005,78.2,10210,16400000
Chile,CHL,2006,78.4,10714,16500000
Chile,CHL,2007,78.7,11148,16700000
Chile,CHL,2008,78.6,11447,16900000
Chile,CHL,2009,78.6,11200,17100000
Chile,CHL,2010,79,11733,17200000
Chile,CHL,2011,79.2,12339,17400000
Chile,CHL,2012,79.3,12973,17600000
Chile,CHL,2013,79.5,13272,17800000
Chile,CHL,2014,79.6,13367,18000000
Chile,CHL,2015,80,13495,18200000
Chile,CHL,2016,80,13551,18500000
Chile,CHL,2017,80.1,13540,18700000
Chile,CHL,2018,80.2,13886,19000000
Chile,CHL,2019,79.1,13829,19100000
Chile,CHL,2020,80.5,12890,19200000
Paraguay,PRY,1990,76.5,3879,4330000
Paraguay,PRY,1991,76,3912,4450000
Paraguay,PRY,1992,75.8,3879,4560000
Paraguay,PRY,1993,75.7,3972,4670000
Paraguay,PRY,1994,75.4,4084,4780000
Paraguay,PRY,1995,75.1,4262,4890000
Paraguay,PRY,1996,75.5,4231,5000000
Paraguay,PRY,1997,75.6,4313,5110000
Paraguay,PRY,1998,75.5,4223,5220000
Paraguay,PRY,1999,75.6,4079,5320000
Paraguay,PRY,2000,76,3904,5430000
Paraguay,PRY,2001,76.1,3797,5530000
Paraguay,PRY,2002,75.8,3725,5630000
Paraguay,PRY,2003,75.2,3816,5730000
Paraguay,PRY,2004,75.6,3903,5820000
Paraguay,PRY,2005,75.6,3923,5910000
Paraguay,PRY,2006,76,4049,6000000
Paraguay,PRY,2007,76,4208,6080000
Paraguay,PRY,2008,75.8,4420,6160000
Paraguay,PRY,2009,75.7,4350,6250000
Paraguay,PRY,2010,76,4767,6330000
Paraguay,PRY,2011,76.2,4904,6420000
Paraguay,PRY,2012,76,4803,6510000
Paraguay,PRY,2013,76.4,5130,6600000
Paraguay,PRY,2014,76.5,5329,6690000
Paraguay,PRY,2015,76.1,5414,6780000
Paraguay,PRY,2016,76.3,5571,6870000
Paraguay,PRY,2017,76.5,5763,6960000
Paraguay,PRY,2018,76.6,5871,7040000
Paraguay,PRY,2019,75.7,5774,7130000
Paraguay,PRY,2020,76.8,5656,7220000
Perú,PER,1990,69.2,2700,22500000
Perú,PER,1991,70,2705,23000000
Perú,PER,1992,70.6,2638,23400000
Perú,PER,1993,71.2,2724,23900000
Perú,PER,1994,71.5,3002,24300000
Perú,PER,1995,72.5,3165,24800000
Perú,PER,1996,73,3194,25200000
Perú,PER,1997,73.4,3340,25700000
Perú,PER,1998,74.4,3268,26100000
Perú,PER,1999,74.6,3264,26500000
Perú,PER,2000,75.5,3304,26800000
Perú,PER,2001,75.9,3282,27100000
Perú,PER,2002,76,3422,27400000
Perú,PER,2003,76.7,3529,27600000
Perú,PER,2004,77.2,3671,27900000
Perú,PER,2005,77.7,3868,28100000
Perú,PER,2006,78.3,4124,28300000
Perú,PER,2007,78.5,4439,28600000
Perú,PER,2008,77.4,4805,28800000
Perú,PER,2009,77.3,4819,29000000
Perú,PER,2010,77.7,5178,29300000
Perú,PER,2011,78,5461,29500000
Perú,PER,2012,78.4,5749,29800000
Perú,PER,2013,78.9,6030,30100000
Perú,PER,2014,79.4,6109,30500000
Perú,PER,2015,79.6,6229,30900000
Perú,PER,2016,79.8,6380,31400000
Perú,PER,2017,80,6433,32000000
Perú,PER,2018,80.3,6574,32500000
Perú,PER,2019,77.4,6614,33000000
Perú,PER,2020,80.7,5807,33400000
Uruguay,URY,1990,73.4,7705,3130000
Uruguay,URY,1991,73.5,7921,3150000
Uruguay,URY,1992,73.3,8488,3180000
Uruguay,URY,1993,73.6,8649,3200000
Uruguay,URY,1994,73.7,9211,3220000
Uruguay,URY,1995,73.9,9013,3250000
Uruguay,URY,1996,74.1,9448,3270000
Uruguay,URY,1997,74.1,10184,3290000
Uruguay,URY,1998,74.4,10577,3310000
Uruguay,URY,1999,74.8,10318,3320000
Uruguay,URY,2000,75,10083,3330000
Uruguay,URY,2001,75,9679,3330000
Uruguay,URY,2002,75,8929,3320000
Uruguay,URY,2003,75.2,9008,3320000
Uruguay,URY,2004,75.5,9464,3320000
Uruguay,URY,2005,75.9,10170,3330000
Uruguay,URY,2006,75.7,10575,3330000
Uruguay,URY,2007,76.2,11245,3340000
Uruguay,URY,2008,76.5,12022,3350000
Uruguay,URY,2009,76.5,12496,3360000
Uruguay,URY,2010,76.4,13433,3370000
Uruguay,URY,2011,76.5,14086,3380000
Uruguay,URY,2012,76.8,14541,3390000
Uruguay,URY,2013,77.1,15168,3400000
Uruguay,URY,2014,77.1,15609,3410000
Uruguay,URY,2015,77.3,15614,3420000
Uruguay,URY,2016,77.3,15821,3440000
Uruguay,URY,2017,77.5,16020,3450000
Uruguay,URY,2018,77.5,16038,3460000
Uruguay,URY,2019,77.3,16036,3470000
Uruguay,URY,2020,77.8,15003,3490000
