pais,anio,esperanza_vida,pib,poblacion
Albania,1973,69.8,NA,2360000
Albania,1974,70.2,NA,2410000
Albania,1975,70.7,NA,2460000
Albania,1976,71.1,NA,2520000
Albania,1977,71.7,NA,2570000
Albania,1978,71.3,NA,2630000
Albania,1979,71.3,NA,2680000
Albania,1980,71.3,1741,2740000
Albania,1981,71.4,1804,2790000
Albania,1982,71.2,1818,2840000
Albania,1983,71.4,1800,2900000
Albania,1984,71.9,1740,2970000
Albania,1985,72.3,1735,3040000
Albania,1986,72.2,1798,3120000
Albania,1987,72.4,1749,3200000
Albania,1988,72.5,1692,3260000
Albania,1989,72.8,1809,3290000
Albania,1990,72.6,1606,3280000
Albania,1991,73.2,1163,3250000
Albania,1992,73.8,1086,3200000
Albania,1993,74.6,1198,3150000
Albania,1994,74.6,1305,3110000
Albania,1995,74.5,1488,3100000
Albania,1996,72.9,1634,3100000
Albania,1997,74.8,1464,3110000
Albania,1998,75.1,1604,3120000
Albania,1999,75.4,1822,3130000
Albania,2000,76,1961,3130000
Albania,2001,75.9,2144,3130000
Albania,2002,75.6,2247,3120000
Albania,2003,75.8,2381,3100000
Albania,2004,76.2,2522,3090000
Albania,2005,76.9,2676,3060000
Albania,2006,77.5,2851,3030000
Albania,2007,77.6,3045,3000000
Albania,2008,78,3298,2970000
Albania,2009,78.1,3432,2950000
Albania,2010,78.1,3577,2930000
Albania,2011,78.2,3678,2910000
Albania,2012,78.3,3736,2900000
Albania,2013,78.2,3781,2900000
Albania,2014,78.1,3856,2890000
Albania,2015,78.2,3953,2890000
Albania,2016,78.3,4090,2880000
Albania,2017,78.4,4250,2880000
Albania,2018,78.5,4432,2880000
Albania,2019,77.9,4543,2880000
Albania,2020,78.7,4410,2870000
Alemania,1960,69.8,NA,73900000
Alemania,1961,70,NA,74500000
Alemania,1962,70.2,NA,75100000
Alemania,1963,70.5,NA,75700000
Alemania,1964,70.7,NA,76300000
Alemania,1965,70.8,NA,76800000
Alemania,1966,70.8,NA,77400000
Alemania,1967,70.5,NA,77800000
Alemania,1968,70.4,NA,78300000
Alemania,1969,70.6,NA,78600000
Alemania,1970,70.8,17894,78800000
Alemania,1971,71,18421,78900000
Alemania,1972,71.3,19121,78900000
Alemania,1973,71.6,19972,78900000
Alemania,1974,71.7,20142,78900000
Alemania,1975,72.1,20042,78800000
Alemania,1976,72.5,21124,78700000
Alemania,1977,72.7,21881,78600000
Alemania,1978,73,22559,78400000
Alemania,1979,73.3,23485,78300000
Alemania,1980,73.5,23766,78100000
Alemania,1981,73.8,23856,77900000
Alemania,1982,74.1,23784,77800000
Alemania,1983,74.6,24221,77700000
Alemania,1984,74.8,24991,77700000
Alemania,1985,75.1,25630,77800000
Alemania,1986,75.3,26205,78000000
Alemania,1987,75.5,26531,78300000
Alemania,1988,75.7,27408,78700000
Alemania,1989,75.7,28256,79100000
Alemania,1990,75.8,29486,79500000
Alemania,1991,76.2,30767,80000000
Alemania,1992,76.3,31121,80400000
Alemania,1993,76.6,30615,80800000
Alemania,1994,76.9,31239,81100000
Alemania,1995,77.1,31628,81300000
Alemania,1996,77.5,31791,81400000
Alemania,1997,77.8,32313,81400000
Alemania,1998,78.1,32959,81400000
Alemania,1999,78.4,33559,81400000
Alemania,2000,78.7,34490,81500000
Alemania,2001,78.8,35011,81500000
Alemania,2002,78.9,34883,81600000
Alemania,2003,79.3,34620,81600000
Alemania,2004,79.6,35034,81600000
Alemania,2005,79.9,35310,81500000
Alemania,2006,80,36699,81300000
Alemania,2007,80.2,37842,81100000
Alemania,2008,80.3,38278,80900000
Alemania,2009,80.5,36190,80800000
Alemania,2010,80.7,37761,80900000
Alemania,2011,80.8,39977,81000000
Alemania,2012,80.8,40069,81200000
Alemania,2013,81,40135,81500000
Alemania,2014,80.9,40851,81800000
Alemania,2015,81,41103,82200000
Alemania,2016,81.1,41682,82700000
Alemania,2017,81.2,42640,83100000
Alemania,2018,81.2,42973,83500000
Alemania,2019,81,43329,83800000
Alemania,2020,81.5,41315,83900000
Andorra,1960,75.8,NA,14400
Andorra,1961,75.9,NA,15400
Andorra,1962,76,NA,16400
Andorra,1963,76.2,NA,17500
Andorra,1964,76.3,NA,18500
Andorra,1965,76.4,NA,19600
Andorra,1966,76.5,NA,20800
Andorra,1967,76.7,NA,21900
Andorra,1968,76.8,NA,23100
Andorra,1969,77,NA,24300
Andorra,1970,77.1,35391,25600
Andorra,1971,77.2,35160,26900
Andorra,1972,77.4,36167,28200
Andorra,1973,77.5,37123,29500
Andorra,1974,77.7,37505,30700
Andorra,1975,77.8,36247,31800
Andorra,1976,78,36175,32800
Andorra,1977,78.1,36082,33700
Andorra,1978,78.2,35552,34800
Andorra,1979,78.3,34463,36100
Andorra,1980,78.4,34015,37500
Andorra,1981,78.5,32670,39100
Andorra,1982,78.5,31709,40900
Andorra,1983,78.6,30897,42700
Andorra,1984,78.7,30085,44600
Andorra,1985,78.8,29480,46500
Andorra,1986,78.8,29179,48500
Andorra,1987,78.9,29565,50400
Andorra,1988,79,29855,52500
Andorra,1989,79,30091,54500
Andorra,1990,79.1,30051,56700
Andorra,1991,79.2,29643,58900
Andorra,1992,79.3,28792,61000
Andorra,1993,79.5,27518,62700
Andorra,1994,79.8,27408,63900
Andorra,1995,80,27642,64400
Andorra,1996,80.2,28701,64300
Andorra,1997,80.4,31326,64100
Andorra,1998,80.6,32416,64400
Andorra,1999,80.8,33625,65400
Andorra,2000,80.9,34268,67300
Andorra,2001,81.1,35975,70000
Andorra,2002,81.2,36159,73200
Andorra,2003,81.3,37620,76300
Andorra,2004,81.4,39043,78900
Andorra,2005,81.5,39783,81000
Andorra,2006,81.7,40603,82700
Andorra,2007,81.8,40392,83900
Andorra,2008,81.8,37611,84500
Andorra,2009,81.8,35363,84500
Andorra,2010,81.9,34667,83700
Andorra,2011,81.9,34957,82400
Andorra,2012,82,33750,80800
Andorra,2013,82,33221,79200
Andorra,2014,82,34722,78000
Andorra,2015,82.1,35771,77300
Andorra,2016,82.1,37433,77000
Andorra,2017,82.1,37708,77000
Andorra,2018,82.2,38301,77100
Andorra,2019,NA,39004,77300
Andorra,2020,NA,34588,77400
Angola,1960,44.8,NA,5530000
Angola,1961,45,NA,5610000
Angola,1962,45.2,NA,5680000
Angola,1963,45.4,NA,5730000
Angola,1964,45.6,NA,5770000
Angola,1965,45.8,NA,5780000
Angola,1966,46,NA,5770000
Angola,1967,46.2,NA,5770000
Angola,1968,46.4,NA,5800000
Angola,1969,46.6,NA,5890000
Angola,1970,46.8,NA,6040000
Angola,1971,47,NA,6250000
Angola,1972,47.2,NA,6500000
Angola,1973,47.4,NA,6760000
Angola,1974,47.5,NA,7020000
Angola,1975,47.5,NA,7280000
Angola,1976,47.7,NA,7530000
Angola,1977,47.8,NA,7790000
Angola,1978,48,NA,8060000
Angola,1979,48.1,NA,8340000
Angola,1980,48.2,2653,8640000
Angola,1981,48.2,2449,8950000
Angola,1982,48.2,2363,9280000
Angola,1983,48.4,2376,9610000
Angola,1984,48.6,2431,9960000
Angola,1985,48.6,2428,10300000
Angola,1986,48.6,2412,10700000
Angola,1987,48.6,2424,11100000
Angola,1988,49.4,2484,11500000
Angola,1989,49.7,2401,11800000
Angola,1990,50.3,2241,12200000
Angola,1991,50.3,2190,12700000
Angola,1992,49,1995,13100000
Angola,1993,50.3,1468,13500000
Angola,1994,51.2,1441,13900000
Angola,1995,51.7,1604,14400000
Angola,1996,51.6,1764,14900000
Angola,1997,50.6,1832,15400000
Angola,1998,51.9,1857,15900000
Angola,1999,52.8,1837,16400000
Angola,2000,53.4,1832,16900000
Angola,2001,54.5,1847,17500000
Angola,2002,55.1,2031,18100000
Angola,2003,55.5,2022,18800000
Angola,2004,56.4,2168,19400000
Angola,2005,57,2407,20100000
Angola,2006,58,2589,20900000
Angola,2007,58.8,2845,21700000
Angola,2008,59.5,3048,22500000
Angola,2009,60.2,2962,23400000
Angola,2010,60.8,2994,24200000
Angola,2011,61.4,2988,25100000
Angola,2012,62.1,3128,26000000
Angola,2013,63,3169,26900000
Angola,2014,63.5,3207,27900000
Angola,2015,63.9,3128,28800000
Angola,2016,64.2,2946,29800000
Angola,2017,64.6,2845,30800000
Angola,2018,65.1,2717,31800000
Angola,2019,65.2,2612,32900000
Angola,2020,65.8,2390,33900000
Antigua y Barbuda,1960,64.8,NA,55000
Antigua y Barbuda,1961,65.5,NA,55800
Antigua y Barbuda,1962,65.8,NA,56700
Antigua y Barbuda,1963,66.1,NA,57600
Antigua y Barbuda,1964,66.7,NA,58700
Antigua y Barbuda,1965,67.1,NA,59900
Antigua y Barbuda,1966,67.2,NA,61200
Antigua y Barbuda,1967,67.6,NA,62500
Antigua y Barbuda,1968,68,NA,63600
Antigua y Barbuda,1969,68.3,NA,64200
Antigua y Barbuda,1970,68.9,NA,64400
Antigua y Barbuda,1971,69.4,NA,64100
Antigua y Barbuda,1972,69.8,NA,63600
Antigua y Barbuda,1973,70,NA,63100
Antigua y Barbuda,1974,70.2,NA,62700
Antigua y Barbuda,1975,70.3,NA,62400
Antigua y Barbuda,1976,70.6,NA,62200
Antigua y Barbuda,1977,71,5570,62000
Antigua y Barbuda,1978,71.6,5826,61900
Antigua y Barbuda,1979,72.1,6306,61900
Antigua y Barbuda,1980,72.6,6830,61800
Antigua y Barbuda,1981,73.2,7099,61800
Antigua y Barbuda,1982,73.8,7094,61800
Antigua y Barbuda,1983,73.5,7475,61800
Antigua y Barbuda,1984,73.8,8234,61800
Antigua y Barbuda,1985,74,8863,61800
Antigua y Barbuda,1986,74.2,9887,61700
Antigua y Barbuda,1987,74.3,10549,61800
Antigua y Barbuda,1988,74.3,11091,62000
Antigua y Barbuda,1989,74,11627,62500
Antigua y Barbuda,1990,74,11876,63400
Antigua y Barbuda,1991,74,11976,64500
Antigua y Barbuda,1992,73.4,11908,65800
Antigua y Barbuda,1993,73.3,12286,67200
Antigua y Barbuda,1994,73.3,12829,68700
Antigua y Barbuda,1995,74,12007,70200
Antigua y Barbuda,1996,73.5,12525,71700
Antigua y Barbuda,1997,74.5,12928,73200
Antigua y Barbuda,1998,74.7,13260,74700
Antigua y Barbuda,1999,74.8,13484,76000
Antigua y Barbuda,2000,75.1,14070,77200
Antigua y Barbuda,2001,75.4,13220,78300
Antigua y Barbuda,2002,75.6,13171,79300
Antigua y Barbuda,2003,75.7,13793,80300
Antigua y Barbuda,2004,75.9,14400,81500
Antigua y Barbuda,2005,75.9,15122,82700
Antigua y Barbuda,2006,75.1,16786,84000
Antigua y Barbuda,2007,75.2,18062,85400
Antigua y Barbuda,2008,75.8,17771,86700
Antigua y Barbuda,2009,75.9,15402,88000
Antigua y Barbuda,2010,76,13987,89300
Antigua y Barbuda,2011,76,13525,90400
Antigua y Barbuda,2012,76.1,13803,91500
Antigua y Barbuda,2013,76,13554,92600
Antigua y Barbuda,2014,76,13909,93600
Antigua y Barbuda,2015,76,14285,94500
Antigua y Barbuda,2016,76.1,14919,95400
Antigua y Barbuda,2017,76.2,15242,96300
Antigua y Barbuda,2018,76.3,16147,97100
Antigua y Barbuda,2019,76.3,16786,97900
Antigua y Barbuda,2020,76.5,13286,98700
Arabia Saudita,1960,54.8,NA,4220000
Arabia Saudita,1961,55.4,NA,4360000
Arabia Saudita,1962,55.9,NA,4520000
Arabia Saudita,1963,56.4,NA,4680000
Arabia Saudita,1964,56.9,NA,4840000
Arabia Saudita,1965,57.5,NA,5020000
Arabia Saudita,1966,58.1,NA,5200000
Arabia Saudita,1967,58.6,NA,5390000
Arabia Saudita,1968,59.2,13739,5600000
Arabia Saudita,1969,59.8,14017,5840000
Arabia Saudita,1970,60.5,21336,6100000
Arabia Saudita,1971,61.4,24599,6390000
Arabia Saudita,1972,62.2,28857,6710000
Arabia Saudita,1973,63.1,34129,7050000
Arabia Saudita,1974,63.6,37741,7420000
Arabia Saudita,1975,64.3,32681,7800000
Arabia Saudita,1976,64.8,36613,8210000
Arabia Saudita,1977,65.3,37276,8650000
Arabia Saudita,1978,65.6,33536,9140000
Arabia Saudita,1979,66.1,35516,9690000
Arabia Saudita,1980,66.6,35380,10300000
Arabia Saudita,1981,66.9,33898,11000000
Arabia Saudita,1982,67.1,25216,11700000
Arabia Saudita,1983,67.3,19880,12400000
Arabia Saudita,1984,67.5,17858,13100000
Arabia Saudita,1985,67.7,15249,13800000
Arabia Saudita,1986,68,16970,14400000
Arabia Saudita,1987,68.2,15130,15100000
Arabia Saudita,1988,68.2,16404,15700000
Arabia Saudita,1989,68.1,15700,16200000
Arabia Saudita,1990,68.5,17453,16800000
Arabia Saudita,1991,68.8,19428,17300000
Arabia Saudita,1992,69,19606,17800000
Arabia Saudita,1993,69.2,18816,18200000
Arabia Saudita,1994,69.4,18452,18600000
Arabia Saudita,1995,69.6,18070,19000000
Arabia Saudita,1996,69.8,18162,19400000
Arabia Saudita,1997,70,18009,19800000
Arabia Saudita,1998,70.2,18178,20200000
Arabia Saudita,1999,70.4,17138,20700000
Arabia Saudita,2000,70.6,17691,21200000
Arabia Saudita,2001,70.7,17032,21800000
Arabia Saudita,2002,70.9,16095,22500000
Arabia Saudita,2003,71.1,17385,23100000
Arabia Saudita,2004,71.2,18220,23800000
Arabia Saudita,2005,71.2,18683,24500000
Arabia Saudita,2006,71.3,18670,25200000
Arabia Saudita,2007,71.4,18496,25900000
Arabia Saudita,2008,71.6,19118,26600000
Arabia Saudita,2009,71.8,18203,27400000
Arabia Saudita,2010,72.2,18568,28300000
Arabia Saudita,2011,72.6,19813,29200000
Arabia Saudita,2012,72.9,20250,30100000
Arabia Saudita,2013,73.2,20176,30900000
Arabia Saudita,2014,73.3,20328,31700000
Arabia Saudita,2015,73.7,20628,32400000
Arabia Saudita,2016,74,20503,33100000
Arabia Saudita,2017,74.3,19947,33700000
Arabia Saudita,2018,74.5,20083,34300000
Arabia Saudita,2019,74.3,19818,34800000
Arabia Saudita,2020,74.8,18700,35300000
Argelia,1960,51.5,2170,11300000
Argelia,1961,51.5,1829,11600000
Argelia,1962,55.8,1433,11900000
Argelia,1963,56.7,1878,12200000
Argelia,1964,56.8,1937,12600000
Argelia,1965,56.2,2003,12900000
Argelia,1966,56.1,1855,13300000
Argelia,1967,56.1,1973,13700000
Argelia,1968,56.1,2124,14100000
Argelia,1969,56.2,2238,14500000
Argelia,1970,56.2,2369,14900000
Argelia,1971,56.3,2043,15300000
Argelia,1972,56.5,2532,15700000
Argelia,1973,56.7,2558,16100000
Argelia,1974,56.9,2675,16600000
Argelia,1975,57.1,2732,17100000
Argelia,1976,57.8,2879,17600000
Argelia,1977,58.2,2944,18100000
Argelia,1978,58.8,3123,18600000
Argelia,1979,58.7,3259,19200000
Argelia,1980,59.9,3186,19800000
Argelia,1981,60.8,3182,20500000
Argelia,1982,62.3,3282,21100000
Argelia,1983,63.3,3353,21800000
Argelia,1984,64.7,3433,22400000
Argelia,1985,65.5,3454,23100000
Argelia,1986,66,3367,23800000
Argelia,1987,66.6,3249,24400000
Argelia,1988,67.1,3128,25100000
Argelia,1989,67.5,3180,25800000
Argelia,1990,67.9,3124,26400000
Argelia,1991,68.3,3011,27000000
Argelia,1992,68.6,2994,27600000
Argelia,1993,68.7,2867,28200000
Argelia,1994,69,2783,28800000
Argelia,1995,69.6,2834,29300000
Argelia,1996,69.7,2899,29700000
Argelia,1997,70.2,2884,30200000
Argelia,1998,70.7,2986,30600000
Argelia,1999,71,3038,31000000
Argelia,2000,71.3,3111,31500000
Argelia,2001,71.8,3163,31900000
Argelia,2002,72,3298,32300000
Argelia,2003,72.6,3490,32700000
Argelia,2004,72.9,3593,33100000
Argelia,2005,73.3,3752,33600000
Argelia,2006,73.6,3760,34200000
Argelia,2007,73.9,3828,34700000
Argelia,2008,74.2,3856,35300000
Argelia,2009,74.5,3851,36000000
Argelia,2010,74.7,3918,36700000
Argelia,2011,74.9,3957,37400000
Argelia,2012,75.1,4012,38100000
Argelia,2013,75.3,4043,38900000
Argelia,2014,75.4,4112,39700000
Argelia,2015,75.7,4178,40600000
Argelia,2016,75.9,4224,41400000
Argelia,2017,76,4192,42200000
Argelia,2018,76.2,4154,43100000
Argelia,2019,76.2,4115,43900000
Argelia,2020,76.6,3834,44600000
Argentina,1960,65.7,7363,20800000
Argentina,1961,65.8,7637,21200000
Argentina,1962,65.8,7452,21500000
Argentina,1963,65.8,6946,21800000
Argentina,1964,66.1,7532,22200000
Argentina,1965,66.6,8202,22500000
Argentina,1966,66.5,8027,22800000
Argentina,1967,66,8162,23200000
Argentina,1968,65.9,8430,23500000
Argentina,1969,66.1,9108,23900000
Argentina,1970,66.9,9243,24300000
Argentina,1971,67.3,9614,24700000
Argentina,1972,67.7,9614,25100000
Argentina,1973,67.9,9725,25500000
Argentina,1974,68,10100,25900000
Argentina,1975,67,9940,26300000
Argentina,1976,67.7,9591,26700000
Argentina,1977,69,10104,27100000
Argentina,1978,69.8,9506,27500000
Argentina,1979,70.2,10321,27900000
Argentina,1980,70.3,10318,28300000
Argentina,1981,70.9,9630,28800000
Argentina,1982,70.7,9408,29300000
Argentina,1983,70.8,9660,29700000
Argentina,1984,71.7,9655,30200000
Argentina,1985,72,9009,30700000
Argentina,1986,72.1,9413,31200000
Argentina,1987,72.1,9517,31700000
Argentina,1988,72.3,9269,32100000
Argentina,1989,72.5,8478,32600000
Argentina,1990,72.7,8149,33100000
Argentina,1991,72.8,8770,33500000
Argentina,1992,73,9339,34000000
Argentina,1993,73.4,9974,34400000
Argentina,1994,73.4,10423,34800000
Argentina,1995,73.5,10003,35200000
Argentina,1996,73.6,10431,35700000
Argentina,1997,73.7,11147,36100000
Argentina,1998,73.8,11446,36500000
Argentina,1999,74.2,10936,36900000
Argentina,2000,74.3,10731,37300000
Argentina,2001,74.3,10146,37700000
Argentina,2002,74.4,8943,38100000
Argentina,2003,74.9,9630,38500000
Argentina,2004,75.3,10389,38900000
Argentina,2005,75.4,11192,39300000
Argentina,2006,75.3,11971,39700000
Argentina,2007,75.7,12919,40100000
Argentina,2008,75.8,13311,40500000
Argentina,2009,75.9,12398,40900000
Argentina,2010,76,13551,41300000
Argentina,2011,76.2,14200,41800000
Argentina,2012,76.3,13896,42200000
Argentina,2013,76.5,14072,42600000
Argentina,2014,76.5,13568,43100000
Argentina,2015,76.2,13789,43500000
Argentina,2016,76.3,13360,43900000
Argentina,2017,76.5,13595,44400000
Argentina,2018,76.6,13105,44800000
Argentina,2019,74.6,12713,45200000
Argentina,2020,76.9,11344,45600000
Armenia,1960,60.4,NA,1940000
Armenia,1961,61.4,NA,2010000
Armenia,1962,62,NA,2080000
Armenia,1963,62.9,NA,2150000
Armenia,1964,63.6,NA,2210000
Armenia,1965,64.2,NA,2280000
Armenia,1966,64.7,NA,2340000
Armenia,1967,65.1,NA,2400000
Armenia,1968,65.3,NA,2460000
Armenia,1969,65.9,NA,2530000
Armenia,1970,66.4,NA,2590000
Armenia,1971,66.8,NA,2650000
Armenia,1972,67.2,NA,2710000
Armenia,1973,67.9,NA,2770000
Armenia,1974,68.2,NA,2830000
Armenia,1975,69,NA,2890000
Armenia,1976,69.5,NA,2940000
Armenia,1977,69.7,NA,3000000
Armenia,1978,70.2,NA,3050000
Armenia,1979,70.2,NA,3100000
Armenia,1980,70.5,NA,3150000
Armenia,1981,70.8,NA,3190000
Armenia,1982,70.8,NA,3240000
Armenia,1983,71.1,NA,3290000
Armenia,1984,71.3,NA,3340000
Armenia,1985,71.7,NA,3390000
Armenia,1986,71.8,NA,3450000
Armenia,1987,55.3,NA,3500000
Armenia,1988,71,NA,3540000
Armenia,1989,70.6,NA,3540000
Armenia,1990,70.3,1651,3510000
Armenia,1991,69.4,1471,3440000
Armenia,1992,69,872,3360000
Armenia,1993,69.5,814,3280000
Armenia,1994,70.1,879,3220000
Armenia,1995,70.4,959,3170000
Armenia,1996,71.1,1030,3130000
Armenia,1997,71.6,1077,3110000
Armenia,1998,71.9,1164,3090000
Armenia,1999,72.4,1210,3070000
Armenia,2000,72.5,1290,3050000
Armenia,2001,72.7,1422,3030000
Armenia,2002,72.8,1619,3020000
Armenia,2003,73,1856,3000000
Armenia,2004,73,2062,2980000
Armenia,2005,73.1,2364,2960000
Armenia,2006,73.5,2697,2930000
Armenia,2007,73.5,3093,2910000
Armenia,2008,73.6,3335,2890000
Armenia,2009,73.9,2884,2880000
Armenia,2010,74.2,2959,2880000
Armenia,2011,74.6,3099,2880000
Armenia,2012,75.1,3313,2900000
Armenia,2013,75.2,3407,2910000
Armenia,2014,75.1,3511,2930000
Armenia,2015,75.3,3607,2940000
Armenia,2016,75.5,3601,2940000
Armenia,2017,75.6,3860,2950000
Armenia,2018,75.7,4051,2960000
Armenia,2019,74,4350,2960000
Armenia,2020,76,4021,2970000
Australia,1960,71.3,19953,10400000
Australia,1961,71.2,20046,10600000
Australia,1962,71.2,19816,10800000
Australia,1963,71,20647,11100000
Australia,1964,71.1,21659,11300000
Australia,1965,71.1,22509,11600000
Australia,1966,71.1,22525,11900000
Australia,1967,71,23645,12200000
Australia,1968,71.2,24415,12500000
Australia,1969,71.2,25593,12800000
Australia,1970,71.4,26895,13000000
Australia,1971,71.8,27041,13200000
Australia,1972,71.9,27586,13400000
Australia,1973,72,27879,13600000
Australia,1974,72.5,28298,13800000
Australia,1975,72.8,28325,13900000
Australia,1976,73.3,28769,14100000
Australia,1977,73.8,29469,14200000
Australia,1978,74.2,29389,14400000
Australia,1979,74.5,30250,14600000
Australia,1980,74.8,30791,14800000
Australia,1981,74.9,31318,15000000
Australia,1982,75.3,31824,15200000
Australia,1983,75.5,30730,15400000
Australia,1984,75.6,31780,15700000
Australia,1985,76,32995,15900000
Australia,1986,76.2,33767,16200000
Australia,1987,76.4,34105,16500000
Australia,1988,76.5,35478,16700000
Australia,1989,77,36231,17000000
Australia,1990,77.4,36974,17200000
Australia,1991,77.6,36362,17400000
Australia,1992,77.9,36072,17600000
Australia,1993,78,37162,17800000
Australia,1994,78.3,38234,18000000
Australia,1995,78.5,39223,18200000
Australia,1996,78.8,40203,18400000
Australia,1997,79.1,41310,18600000
Australia,1998,79.4,42768,18800000
Australia,1999,79.7,44369,19000000
Australia,2000,80.1,45559,19200000
Australia,2001,80.3,45865,19400000
Australia,2002,80.6,47127,19600000
Australia,2003,80.9,47997,19900000
Australia,2004,81.2,49439,20200000
Australia,2005,81.5,50333,20500000
Australia,2006,81.5,50948,20900000
Australia,2007,81.7,52539,21300000
Australia,2008,81.9,53339,21800000
Australia,2009,82.1,53226,22200000
Australia,2010,82.3,53543,22500000
Australia,2011,82.6,54108,22900000
Australia,2012,82.7,55255,23300000
Australia,2013,82.7,55724,23600000
Australia,2014,82.7,56306,23900000
Australia,2015,83,56707,24300000
Australia,2016,83,57359,24600000
Australia,2017,82.9,57696,24900000
Australia,2018,82.9,58447,25200000
Australia,2019,82.9,58781,25500000
Australia,2020,83.2,58030,25800000
Austria,1960,69.6,12051,7110000
Austria,1961,69.7,12649,7160000
Austria,1962,69.8,12905,7210000
Austria,1963,70,13353,7260000
Austria,1964,70.1,14076,7310000
Austria,1965,70.2,14472,7350000
Austria,1966,70.2,15182,7400000
Austria,1967,70.3,15522,7440000
Austria,1968,70.2,16132,7480000
Austria,1969,70.2,17085,7520000
Austria,1970,70.4,18102,7550000
Austria,1971,70.7,18943,7580000
Austria,1972,71.1,20003,7610000
Austria,1973,71.2,20865,7630000
Austria,1974,71.4,21650,7640000
Austria,1975,71.8,21629,7640000
Austria,1976,72.2,22659,7640000
Austria,1977,72.4,23801,7630000
Austria,1978,72.6,23770,7620000
Austria,1979,72.8,25086,7610000
Austria,1980,73.1,25521,7600000
Austria,1981,73.3,25419,7600000
Austria,1982,73.5,25912,7600000
Austria,1983,73.9,26725,7610000
Austria,1984,74.3,26741,7610000
Austria,1985,74.7,27396,7630000
Austria,1986,75.1,28009,7640000
Austria,1987,75.5,28371,7660000
Austria,1988,75.7,29264,7690000
Austria,1989,76,30265,7720000
Austria,1990,76.1,31341,7770000
Austria,1991,76.3,32097,7830000
Austria,1992,76.5,32411,7890000
Austria,1993,76.7,32314,7950000
Austria,1994,77,32963,7990000
Austria,1995,77.3,33790,8020000
Austria,1996,77.7,34538,8030000
Austria,1997,77.9,35221,8040000
Austria,1998,78.2,36442,8050000
Austria,1999,78.5,37665,8070000
Austria,2000,78.9,38843,8100000
Austria,2001,79,39185,8130000
Austria,2002,79.1,39636,8180000
Austria,2003,79.5,39815,8220000
Austria,2004,79.8,40651,8250000
Austria,2005,80.1,41281,8290000
Austria,2006,80.3,42496,8310000
Austria,2007,80.5,43938,8340000
Austria,2008,80.5,44440,8370000
Austria,2009,80.8,42655,8410000
Austria,2010,81,43335,8450000
Austria,2011,81.2,44451,8500000
Austria,2012,81.3,44550,8560000
Austria,2013,81.5,44299,8620000
Austria,2014,81.6,44245,8680000
Austria,2015,81.8,44196,8750000
Austria,2016,82,44590,8820000
